hash,class_changed,method_changed,statement_changed,total_revision
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/mpeg12/MPEGDecoder.java, new_path=src/main/java/org/jcodec/codecs/mpeg12/MPEGDecoder.java, old_lines=[288], new_lines=[288], category=ONE_TO_ONE)",6,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/prores/ProresEncoder.java, new_path=src/main/java/org/jcodec/codecs/prores/ProresEncoder.java, old_lines=[165], new_lines=[165], category=ONE_TO_ONE)",2,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/prores/ProresFix.java, new_path=src/main/java/org/jcodec/codecs/prores/ProresFix.java, old_lines=[98], new_lines=[98], category=ONE_TO_ONE)",0,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/common/AudioUtil.java, new_path=src/main/java/org/jcodec/common/AudioUtil.java, old_lines=[133], new_lines=[134], category=ONE_TO_ONE)",1,1,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/common/AudioUtil.java, new_path=src/main/java/org/jcodec/common/AudioUtil.java, old_lines=[142], new_lines=[143], category=ONE_TO_ONE)",1,1,0,346
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/codecs/h264/decode/SliceReader.java, new_path=src/main/java/org/jcodec/codecs/h264/decode/SliceReader.java, old_lines=[469], new_lines=[469], category=ONE_TO_ONE)",5,2,2,397
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/codecs/h264/decode/SliceReader.java, new_path=src/main/java/org/jcodec/codecs/h264/decode/SliceReader.java, old_lines=[644], new_lines=[644], category=ONE_TO_ONE)",2,0,0,341
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/codecs/h264/decode/SliceReader.java, new_path=src/main/java/org/jcodec/codecs/h264/decode/SliceReader.java, old_lines=[851], new_lines=[851], category=ONE_TO_ONE)",5,1,1,397
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/common/io/BitWriter.java, new_path=src/main/java/org/jcodec/common/io/BitWriter.java, old_lines=[34], new_lines=[35], category=ONE_TO_ONE)",1,0,0,341
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/common/io/BitWriter.java, new_path=src/main/java/org/jcodec/common/io/BitWriter.java, old_lines=[55], new_lines=[56], category=ONE_TO_ONE)",1,0,0,341
